title,description,sale_price,market_price,category,matched,year,brand,set,subset,player,card_number,attributes,team,variation,condition,graded,grader,certification_number,grade_name,grade_number,purchase_date,purchase_price,note,cabinet,shelf,box,row,section,sku,front_image,back_image
2018-19 Panini Court Kings Rookie #152,<p>This is a nice example of a 2018-19 Panini Court Kings #152 Anfernee Simons <br><br><br>Other important information about this card:<br><br>RC<br><br><br>In 2018 Anfernee Simons played for the Portland Trail Blazers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,14.99,BASKETBALL,Yes,2018,Panini,2018-19 Panini Court Kings,,Anfernee Simons,152,RC,Portland Trail Blazers,,Near Mint or Better,No,,,,,,0,,,,,,,7768,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591152-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591152-back.jpg
2019 Panini Prestige Xtra Points Green #170,<p>This is a nice example of a 2019 Panini Prestige #170 Gus Edwards Xtra Points Green <br><br><br>Other important information about this card:<br><br><br>In 2019 Gus Edwards played for the Baltimore Ravens.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,0.94,FOOTBALL,Yes,2019,Panini,2019 Panini Prestige,Xtra Points Green,Gus Edwards,170,,Baltimore Ravens,,Near Mint or Better,No,,,,,,0,,,,,,,7769,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591153-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591153-back.jpg
2024 Bowman University Best #42,<p>This is a nice example of a 2024 Bowman University Best #42 Omarion Hampton <br><br><br>Other important information about this card:<br><br><br>In 2024 Omarion Hampton played for the North Carolina Tar Heels.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.79,FOOTBALL,Yes,2024,Bowman,2024 Bowman University Best,,Omarion Hampton,42,,North Carolina Tar Heels,,Near Mint or Better,No,,,,,,0,,,,,,,7770,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591155-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591155-back.jpg
2024 Panini Contenders Draft Class Contenders Bronze #5,<p>This is a nice example of a 2024 Panini Contenders #5 Malik Nabers Draft Class Contenders Bronze <br><br><br>Other important information about this card:<br><br><br>In 2024 Malik Nabers played for the New York Giants.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2024,Panini,2024 Panini Contenders,Draft Class Contenders Bronze,Malik Nabers,5,,New York Giants,,Near Mint or Better,No,,,,,,0,,,,,,,7771,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591156-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591156-back.jpg
2021-22 Hoops Slam Green Ice #SLAM 218,<p>This is a nice example of a 2021-22 Hoops #SLAM 218 Jayson Tatum Slam Green Ice <br><br><br>Other important information about this card:<br><br><br>In 2021 Jayson Tatum played for the Boston Celtics.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.45,BASKETBALL,Yes,2021,,2021-22 Hoops,Slam Green Ice,Jayson Tatum,SLAM 218,,Boston Celtics,,Near Mint or Better,No,,,,,,0,,,,,,,7772,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591157-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591157-back.jpg
#,<p>This is a nice example of a # <br><br><br>Other important information about this card:<br><br><br>In played for the .<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,,No,,,,,,,,,,Near Mint or Better,No,,,,,,0,,,,,,,7773,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591158-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591158-back.jpg
2024 Bowman University Chrome Campus Icons Fuchsia Refractor #CI-16,<p>This is a nice example of a 2024 Bowman University Chrome #CI-16 Luther Burden III Campus Icons Fuchsia Refractor <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2024 Luther Burden III played for the Missouri Tigers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,2.00,FOOTBALL,Yes,2024,Bowman,2024 Bowman University Chrome,Campus Icons Fuchsia Refractor,Luther Burden III,CI-16,SN,Missouri Tigers,,Near Mint or Better,No,,,,,,0,,,,,,,7774,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591159-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591159-back.jpg
2024 Bowman University Chrome Pink Lava Refractor #100,<p>This is a nice example of a 2024 Bowman University Chrome #100 Jeremiyah Love Pink Lava Refractor <br><br><br>Other important information about this card:<br><br><br>In 2024 Jeremiyah Love played for the Notre Dame Fighting Irish.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,32.00,FOOTBALL,Yes,2024,Bowman,2024 Bowman University Chrome,Pink Lava Refractor,Jeremiyah Love,100,,Notre Dame Fighting Irish,,Near Mint or Better,No,,,,,,0,,,,,,,7775,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591161-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591161-back.jpg
2022-23 Bowman's Best University #48,<p>This is a nice example of a 2022-23 Bowman's Best University #48 JJ McCarthy <br><br><br>Other important information about this card:<br><br><br>In 2022 JJ McCarthy played for the Michigan Wolverines.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.99,FOOTBALL,Yes,2022,Bowman,2022-23 Bowman's Best University,,JJ McCarthy,48,,Michigan Wolverines,,Near Mint or Better,No,,,,,,0,,,,,,,7776,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591162-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591162-back.jpg
2024-25 Panini Mosaic Mosaic #7,<p>This is a nice example of a 2024-25 Panini Mosaic #7 Kawhi Leonard Mosaic <br><br><br>Other important information about this card:<br><br><br>In 2024 Kawhi Leonard played for the Los Angeles Clippers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,BASKETBALL,Yes,2024,Panini,2024-25 Panini Mosaic,Mosaic,Kawhi Leonard,7,,Los Angeles Clippers,,Near Mint or Better,No,,,,,,0,,,,,,,7777,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591163-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591163-back.jpg
2022-23 Topps Match Attax 101 Road to UEFA Nations League Finals Young Player to Watch Purple Foil #YP9,<p>This is a nice example of a 2022-23 Topps Match Attax 101 Road to UEFA Nations League Finals #YP9 Josko Gvardiol Young Player to Watch Purple Foil <br><br><br>Other important information about this card:<br><br><br>In 2022 Josko Gvardiol played for the Croatia.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,SOCCER,Yes,2022,Topps,2022-23 Topps Match Attax 101 Road to UEFA Nations League Finals,Young Player to Watch Purple Foil,Josko Gvardiol,YP9,,Croatia,,Near Mint or Better,No,,,,,,0,,,,,,,7778,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591165-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591165-back.jpg
2022 Score Red Zone #270,<p>This is a nice example of a 2022 Score #270 Thurman Thomas Red Zone <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2022 Thurman Thomas played for the Buffalo Bills.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,2.12,FOOTBALL,Yes,2022,Score,2022 Score,Red Zone,Thurman Thomas,270,SN,Buffalo Bills,,Near Mint or Better,No,,,,,,0,,,,,,,7779,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591166-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591166-back.jpg
2020-21 Hoops Slam #3,<p>This is a nice example of a 2020-21 Hoops #3 Carmelo Anthony Slam <br><br><br>Other important information about this card:<br><br><br>In 2020 Carmelo Anthony played for the New York Knicks.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,5.00,BASKETBALL,Yes,2020,,2020-21 Hoops,Slam,Carmelo Anthony,3,,New York Knicks,,Near Mint or Better,No,,,,,,0,,,,,,,7780,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591167-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591167-back.jpg
2022-23 Hoops Blue #287,<p>This is a nice example of a 2022-23 Hoops #287 Nikola Jokic Blue <br><br><br>Other important information about this card:<br><br><br>In 2022 Nikola Jokic played for the Denver Nuggets.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.16,BASKETBALL,Yes,2022,,2022-23 Hoops,Blue,Nikola Jokic,287,,Denver Nuggets,,Near Mint or Better,No,,,,,,0,,,,,,,7781,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591169-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591169-back.jpg
2022-23 Panini Chronicles Red #618,<p>This is a nice example of a 2022-23 Panini Chronicles #618 Stephen Curry Red <br><br><br>Other important information about this card:<br><br><br>In 2022 Stephen Curry played for the Golden State Warriors.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,2.19,BASKETBALL,Yes,2022,Panini,2022-23 Panini Chronicles,Red,Stephen Curry,618,,Golden State Warriors,,Near Mint or Better,No,,,,,,0,,,,,,,7782,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591170-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591170-back.jpg
2024 Panini Select Green & Yellow Prizm Shock #297,<p>This is a nice example of a 2024 Panini Select #297 Tremaine Edmunds Green & Yellow Prizm Shock <br><br><br>Other important information about this card:<br><br><br>In 2024 Tremaine Edmunds played for the Chicago Bears.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2024,Panini,2024 Panini Select,Green & Yellow Prizm Shock,Tremaine Edmunds,297,,Chicago Bears,,Near Mint or Better,No,,,,,,0,,,,,,,7783,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591171-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591171-back.jpg
2024 Panini Select Black & Orange Prizm Shock #209,<p>This is a nice example of a 2024 Panini Select #209 Boomer Esiason Black & Orange Prizm Shock <br><br><br>Other important information about this card:<br><br><br>In 2024 Boomer Esiason played for the New York Jets.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,2.00,FOOTBALL,Yes,2024,Select,2024 Panini Select,Black & Orange Prizm Shock,Boomer Esiason,209,,New York Jets,,Near Mint or Better,No,,,,,,0,,,,,,,7784,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591172-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591172-back.jpg
2024 Panini Select Red & Blue Prizm Shock #155,<p>This is a nice example of a 2024 Panini Select #155 Emmitt Smith Red & Blue Prizm Shock <br><br><br>Other important information about this card:<br><br><br>In 2024 Emmitt Smith played for the Dallas Cowboys.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.00,FOOTBALL,Yes,2024,Select,2024 Panini Select,Red & Blue Prizm Shock,Emmitt Smith,155,,Dallas Cowboys,,Near Mint or Better,No,,,,,,0,,,,,,,7785,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591174-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591174-back.jpg
2024 Panini Select Select Numbers Prizm #6,<p>This is a nice example of a 2024 Panini Select #6 Bo Nix Select Numbers Prizm <br><br><br>Other important information about this card:<br><br><br>In 2024 Bo Nix played for the Denver Broncos.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2024,Prizm,2024 Panini Select,Select Numbers Prizm,Bo Nix,6,,Denver Broncos,,Near Mint or Better,No,,,,,,0,,,,,,,7786,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591175-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591175-back.jpg
2024 Panini Select Red & Blue Prizm Shock #182,<p>This is a nice example of a 2024 Panini Select #182 Matthew Stafford Red & Blue Prizm Shock <br><br><br>Other important information about this card:<br><br><br>In 2024 Matthew Stafford played for the Los Angeles Rams.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.00,FOOTBALL,Yes,2024,Prizm,2024 Panini Select,Red & Blue Prizm Shock,Matthew Stafford,182,,Los Angeles Rams,,Near Mint or Better,No,,,,,,0,,,,,,,7787,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591176-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591176-back.jpg
2024 Donruss Optic Rookie #203,<p>This is a nice example of a 2024 Donruss Optic #203 Adonai Mitchell <br><br><br>Other important information about this card:<br><br>RC<br><br><br>In 2024 Adonai Mitchell played for the Indianapolis Colts.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.12,FOOTBALL,Yes,2024,Donruss,2024 Donruss Optic,,Adonai Mitchell,203,RC,Indianapolis Colts,,Near Mint or Better,No,,,,,,0,,,,,,,7788,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591177-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591177-back.jpg
2023 Panini Absolute Draft Diamonds #DD-2,<p>This is a nice example of a 2023 Panini Absolute #DD-2 Brock Purdy Draft Diamonds <br><br><br>Other important information about this card:<br><br><br>In 2023 Brock Purdy played for the San Francisco 49ers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.69,FOOTBALL,Yes,2023,Panini,2023 Panini Absolute,Draft Diamonds,Brock Purdy,DD-2,,San Francisco 49ers,,Near Mint or Better,No,,,,,,0,,,,,,,7789,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591178-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591178-back.jpg
2023 Panini Select Future #FUT-BYO,<p>This is a nice example of a 2023 Panini Select #FUT-BYO Bryce Young Future <br><br><br>Other important information about this card:<br><br><br>In 2023 Bryce Young played for the Carolina Panthers.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.07,FOOTBALL,Yes,2023,Select,2023 Panini Select,Future,Bryce Young,FUT-BYO,,Carolina Panthers,,Near Mint or Better,No,,,,,,0,,,,,,,7790,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591180-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591180-back.jpg
2024 Panini Totally Certified Mirror Gold #181,<p>This is a nice example of a 2024 Panini Totally Certified #181 Kurt Warner Mirror Gold <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2024 Kurt Warner played for the St. Louis Rams.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2024,Panini,2024 Panini Totally Certified,Mirror Gold,Kurt Warner,181,SN,St. Louis Rams,,Near Mint or Better,No,,,,,,0,,,,,,,7791,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591181-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591181-back.jpg
2023 Panini Rookies & Stars Crusade Pandora #CR-16,<p>This is a nice example of a 2023 Panini Rookies & Stars #CR-16 Tyreek Hill Crusade Pandora <br><br><br>Other important information about this card:<br><br>SN<br><br><br>In 2023 Tyreek Hill played for the Miami Dolphins.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,3.99,FOOTBALL,Yes,2023,Panini,2023 Panini Rookies & Stars,Crusade Pandora,Tyreek Hill,CR-16,SN,Miami Dolphins,,Near Mint or Better,No,,,,,,0,,,,,,,7792,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591182-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591182-back.jpg
2024 Panini Phoenix Contours #CON-PMS,<p>This is a nice example of a 2024 Panini Phoenix #CON-PMS Patrick Mahomes II Contours <br><br><br>Other important information about this card:<br><br><br>In 2024 Patrick Mahomes II played for the Kansas City Chiefs.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,2.75,FOOTBALL,Yes,2024,Panini,2024 Panini Phoenix,Contours,Patrick Mahomes II,CON-PMS,,Kansas City Chiefs,,Near Mint or Better,No,,,,,,0,,,,,,,7793,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591183-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591183-back.jpg
2024 Panini Phoenix Contours #CON-LJN,<p>This is a nice example of a 2024 Panini Phoenix #CON-LJN Lamar Jackson Contours <br><br><br>Other important information about this card:<br><br><br>In 2024 Lamar Jackson played for the Baltimore Ravens.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.50,FOOTBALL,Yes,2024,Panini,2024 Panini Phoenix,Contours,Lamar Jackson,CON-LJN,,Baltimore Ravens,,Near Mint or Better,No,,,,,,0,,,,,,,7794,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591184-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591184-back.jpg
2024 Panini Phoenix Contours #CON-CST,<p>This is a nice example of a 2024 Panini Phoenix #CON-CST C.J. Stroud Contours <br><br><br>Other important information about this card:<br><br><br>In 2024 C.J. Stroud played for the Houston Texans.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.44,FOOTBALL,Yes,2024,Panini,2024 Panini Phoenix,Contours,C.J. Stroud,CON-CST,,Houston Texans,,Near Mint or Better,No,,,,,,0,,,,,,,7795,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591185-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591185-back.jpg
2024 Panini Select Black & Red Prizm Shock Rookie #112,<p>This is a nice example of a 2024 Panini Select #112 Jayden Daniels Black & Red Prizm Shock <br><br><br>Other important information about this card:<br><br>RC<br><br><br>In 2024 Jayden Daniels played for the Washington Commanders.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,7.49,FOOTBALL,Yes,2024,Select,2024 Panini Select,Black & Red Prizm Shock,Jayden Daniels,112,RC,Washington Commanders,,Near Mint or Better,No,,,,,,0,,,,,,,7796,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591187-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591187-back.jpg
2024 Panini Select Black & Green Prizm Shock Rookie #80,<p>This is a nice example of a 2024 Panini Select #80 Michael Penix Jr. Black & Green Prizm Shock <br><br><br>Other important information about this card:<br><br>RC<br><br><br>In 2024 Michael Penix Jr. played for the Atlanta Falcons.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2024,Select,2024 Panini Select,Black & Green Prizm Shock,Michael Penix Jr.,80,RC,Atlanta Falcons,,Near Mint or Better,No,,,,,,0,,,,,,,7797,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591188-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591188-back.jpg
2024 Panini Select Turbocharged Prizm #12,<p>This is a nice example of a 2024 Panini Select #12 Jayden Daniels Turbocharged Prizm <br><br><br>Other important information about this card:<br><br><br>In 2024 Jayden Daniels played for the Washington Commanders.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2024,Prizm,2024 Panini Select,Turbocharged Prizm,Jayden Daniels,12,,Washington Commanders,,Near Mint or Better,No,,,,,,0,,,,,,,7798,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591189-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591189-back.jpg
2024 Panini Select Turbocharged #3,<p>This is a nice example of a 2024 Panini Select #3 Lamar Jackson Turbocharged <br><br><br>Other important information about this card:<br><br><br>In 2024 Lamar Jackson played for the Baltimore Ravens.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,,FOOTBALL,Yes,2024,Select,2024 Panini Select,Turbocharged,Lamar Jackson,3,,Baltimore Ravens,,Near Mint or Better,No,,,,,,0,,,,,,,7799,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591191-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591191-back.jpg
2006 Topps Total #191,<p>This is a nice example of a 2006 Topps Total #191 Jamal Lewis <br><br><br>Other important information about this card:<br><br><br>In 2006 Jamal Lewis played for the Baltimore Ravens.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,1.49,FOOTBALL,Yes,2006,Topps,2006 Topps Total,,Jamal Lewis,191,,Baltimore Ravens,,Near Mint or Better,No,,,,,,0,,,,,,,7800,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591192-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591192-back.jpg
2021-22 Panini Illusions King of Cards Emerald #2,<p>This is a nice example of a 2021-22 Panini Illusions #2 Stephen Curry King of Cards Emerald <br><br><br>Other important information about this card:<br><br><br>In 2021 Stephen Curry played for the Golden State Warriors.<br><br><br>Please check out our other listings for more great cards.</p>,0.00,14.00,BASKETBALL,Yes,2021,Panini,2021-22 Panini Illusions,King of Cards Emerald,Stephen Curry,2,,Golden State Warriors,,Near Mint or Better,No,,,,,,0,,,,,,,7801,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591193-front.jpg,https://storage.googleapis.com/cdp-batches-prod/46503-1022110/54591193-back.jpg
